Site;Species;Treat;Block;Plot;Year;Date;Registrator;IDS;MS;IDG;X;Y;SH;NL;NL_partitioned;LL;WL;NFL;NFL1;NFL2;NFL3;NB;NB1;NB2;NB3;NC;NC1;NC2;NAC;NFS;Length of aks;Length of aks (partitioned);seedl;juvinale;comment
Låv;Car_pal;Novel;1;6;2018;14.09.2018;RG/BM;4;;;7,5;8,0;;11;;80;;;;;;;;;;;;;;;18;;;;
Låv;Car_pal;Novel;2;3;2018;14.09.2018;IA;1;;;18,0;17,0;;13;;148;;;;;;;;;;;;;;;;;;;
Låv;Car_pal;Novel;2;3;2018;14.09.2018;IA;2;;;19,0;17,5;;14;;138;;;;;;;;;;;;;;3;6;;;;
Låv;Car_pal;Novel;2;3;2018;14.09.2018;IA;3;;;17,5;16,0;;10;;123;;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;1;2;2018;14.09.2018;;1;;1;17,5;20,0;45;11;;17;7;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;1;2;2018;14.09.2018;;2;1;1;18,5;19,5;10;7;;12;5;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;1;2;2018;14.09.2018;;3;;;19,0;9,5;25;18;;15;8;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;1;2;2018;14.09.2018;;4;;2;16,5;8,0;29;8;;30;6;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;1;2;2018;14.09.2018;;5;;2;17,0;6,5;26;23;;16;11;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;1;2;2018;14.09.2018;;6;;2;16,5;7,0;27;7;;19;8;;;;;;;;;;;;;;;;;;
Låv;Vio_can;Extant;1;2;2018;14.09.2018;;1;;;27,0;18,0;22;4;;20;18;;;;;;;;;;;;;;;;;;
Låv;Vio_can;Extant;1;2;2018;14.09.2018;;2;;;25,0;8,5;23;2;;19;16;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;1;4;2018;14.09.2018;;1;;;7,5;15,0;50;50;;29;50;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;1;4;2018;14.09.2018;;2;;;6,5;15,5;24;7;;9;5;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;1;4;2018;14.09.2018;;3;;;6,0;7,5;70;22;;29;12;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;1;4;2018;14.09.2018;;4;;;8,5;8,5;26;9;;15;7;;;;;;;;;;;;;;;;;;
Låv;Car_pal;Novel;2;3;2018;14.09.2018;IA;4;;;15,5;6,5;;17;;136;;;;;;;;;;;;;;2;;;;;
Låv;Car_pal;Novel;2;3;2018;14.09.2018;IA;5;;;18,5;7,5;;16;;137;;;;;;;;;;;;;;2;9;;;;
Låv;Car_pal;Novel;2;5;2018;14.09.2018;;1;;;7,0;19,0;;2;;160;;;;;;;;;;;;;;;19;;;;
Låv;Vio_can;Extant;1;4;2018;14.09.2018;;1;;;27,0;17,5;35;7;;25;19;;;;;;;;;1;;;;;;;;;
Låv;Vio_can;Extant;1;4;2018;14.09.2018;;2;;;27,0;6,5;17;4;;19;15;;;;;;;;;;;;;;;;;;
Låv;Car_pal;Novel;2;5;2018;14.09.2018;;2;;;6,5;17,5;;5;;145;;;;;;;;;;;;;;;;;;;
Låv;Car_pal;Novel;2;5;2018;14.09.2018;;3;;;5,5;8,0;;2;;110;;;;;;;;;;;;;;;15;;;;
Låv;Car_pal;Novel;2;5;2018;14.09.2018;;4;;;7,5;7,0;;4;;153;;;;;;;;;;;;;;;;;;;
Låv;Car_pal;Novel;2;5;2018;14.09.2018;;5;;;4,0;7,0;;2;;150;;;;;;;;;;;;;;;27;;;;
Låv;Suc_pra;Novel;1;6;2018;14.09.2018;RG/BM;1;;;17,0;16,5;;9;7+2;130;35;15;;;;;;;;;;;;;;;;;
Låv;Suc_pra;Novel;1;6;2018;14.09.2018;RG/BM;2;;;18,0;8,0;;19;12+7;99;26;;;;;8;;;;10;;;;;;;;;
Låv;Suc_pra;Novel;1;6;2018;14.09.2018;RG/BM;3;;;17,0;6,0;;10;7+3;85;70;;;;;;;;;;;;;;;;;;
Låv;Hyp_mac;Novel;1;6;2018;14.09.2018;RG/BM;1;;;25,5;17,0;151;66;;40;10;;;;;;;;;;;;;;;;;;
Låv;Hyp_mac;Novel;1;6;2018;14.09.2018;RG/BM;2;;;27,0;17,0;139;84;;18;13;;;;;;;;;;;;;;;;;;grazed(top)
Låv;Hyp_mac;Novel;1;6;2018;14.09.2018;RG/BM;3;;;26,5;6,5;207;86;;18;10;3;;;;;;;;;;;;;;;;;
Låv;Vio_can;Extant;2;2;2018;11.09.2018;SO;1;;;7,5;18,0;28;7;;28;20;;;;;;;;;;;;;;;;;;
Låv;Vio_can;Extant;2;2;2018;11.09.2018;SO;2;;;8,0;9,5;21;11;;35;24;;;;;;;;;;;;;;;;;;
Låv;Car_pal;Novel;4;1;2018;14.09.2018;IA;1;;;16,5;19,0;;2;;173;;;;;;;;;;;;;;1;10;;;;
Låv;Car_pal;Novel;4;1;2018;14.09.2018;IA;2;;;19,5;19,0;;3;;71;;;;;;;;;;;;;;;;;;;
Låv;Car_pal;Novel;4;1;2018;14.09.2018;IA;3;;;16,5;17,5;;2;;217;;;;;;;;;;;;;;1;25;;;;
Låv;Car_pal;Novel;4;1;2018;14.09.2018;IA;4;;;18,5;10,5;;1;;143;;;;;;;;;;;;;;1;22;;;;
Låv;Car_pal;Novel;4;1;2018;14.09.2018;IA;5;;;19,0;10,0;;2;;157;;;;;;;;;;;;;;1;22;;;;
Låv;Car_pal;Novel;4;1;2018;14.09.2018;IA;6;;;16,5;8,5;;7;;201;;;;;;;;;;;;;;;;;;;1 + 3 new
Låv;Car_pal;Novel;4;1;2018;14.09.2018;IA;7;;;18,0;7,0;;12;;171;;;;;;;;;;;;;;;;;;;3 + 1 new
Låv;Car_pal;Novel;4;4;2018;14.09.2018;IA;1;;;25,0;16,5;;2;;167;;;;;;;;;;;;;;;17;;;;
Låv;Car_pal;Novel;4;4;2018;14.09.2018;IA;2;;;26,5;16,5;;1;;155;;;;;;;;;;;;;;;19;;;;
Låv;Car_pal;Novel;4;4;2018;14.09.2018;IA;3;;;27,0;7,0;;2;;217;;;;;;;;;;;;;;;28;;;;
Låv;Car_pal;Novel;6;3;2018;14.09.2018;IA;1;;;26,0;17,5;;4;;185;;;;;;;;;;;;;;1;19;;;;
Låv;Ver_off;Extant;2;2;2018;11.09.2018;SO;1;;;26,5;17,5;33;34;;19;9;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;2;2;2018;11.09.2018;SO;2;;;26,0;7,0;54;46;;21;12;;;;;;;;;;;;;;;;;;
Låv;Hyp_mac;Novel;2;3;2018;14.09.2018;IA;1;;;7,5;16,5;194;79;;22;13;3;;;;1;;;;7;;;;;;;;;
Låv;Hyp_mac;Novel;2;3;2018;14.09.2018;IA;2;;;8,0;6,0;238;41;;16;9;1;;;;2;;;;4;;;;;;;;;
Låv;Car_pal;Novel;6;3;2018;14.09.2018;IA;2;;;28,5;7,0;;2;;129;;;;;;;;;;;;;;1;15;;;;
Låv;Car_pal;Novel;6;3;2018;14.09.2018;IA;3;;;29,0;5,5;;;;17;;;;;;;;;;;;;;;;;;;new shoot
Låv;Car_pal;Novel;6;3;2018;14.09.2018;IA;4;;;29,5;5,5;;;;10;;;;;;;;;;;;;;;;;;;new shoot
Låv;Car_pal;Novel;7;3;2018;14.09.2018;IA;1;;;27,0;18,0;;2;;88;;;;;;;;;;;;;;;7;;;;
Låv;Car_pal;Novel;7;3;2018;14.09.2018;IA;2;;;28,0;16,5;;2;;95;;;;;;;;;;;;;;;17;;;;
Låv;Suc_pra;Novel;2;3;2018;14.09.2018;IA;1;;;28,0;19,0;;9;;71;23;;;;;;;;;;;;;;;;;;
Låv;Suc_pra;Novel;2;3;2018;14.09.2018;IA;2;;;27,5;16,5;;12;6+6;77;19;;;;;;;;;;;;;;;;;;
Låv;Suc_pra;Novel;2;3;2018;14.09.2018;IA;3;;;26,0;8,0;;18;;76;36;;;;;;;;;;;;;;;;;;
Låv;Car_pal;Novel;7;3;2018;14.09.2018;IA;3;;;26,0;7,5;;6;;189;;;;;;;;;;;;;;;;;;;
Låv;Car_pal;Novel;7;3;2018;14.09.2018;IA;4;;;27,5;7,5;;5;;156;;;;;;;;;;;;;;;;;;;
Låv;Car_pal;Novel;7;3;2018;14.09.2018;IA;5;;;28,0;6,5;;10;;214;;;;;;;;;;;;;;;;;;;3 + 2 newshoots
Låv;Car_pal;Novel;7;3;2018;14.09.2018;IA;6;;;28,5;8,0;;1;;159;;;;;;;;;;;;;;;18;;;;
Låv;Car_pal;Novel;3;3;2018;14.09.2018;IA;1;;;7,0;18,5;;2;;213;;;;;;;;;;;;;;;20;;;;
Låv;Suc_pra;Novel;2;5;2018;14.09.2018;;1;;;17,0;15,5;;17;11+6;136;27;;;;;;;;;15;;;;;;;;;
Låv;Suc_pra;Novel;2;5;2018;14.09.2018;;2;;;16,5;8,0;;8;;86;24;;;;;;;;;;;;;;;;;;
Låv;Hyp_mac;Novel;2;5;2018;14.09.2018;;1;;;27,0;16,5;210;133;;23;13;2;;;;;;;;10;;;2;;;;;;
Låv;Hyp_mac;Novel;2;5;2018;14.09.2018;;2;;;28,5;8,5;162;61;;17;9;1;;;;;;;;;;;;;;;;;
Låv;Car_pal;Novel;3;3;2018;14.09.2018;IA;2;;;8,0;18,5;;4;;74;;;;;;;;;;;;;;;;;;;
Låv;Car_pal;Novel;3;3;2018;14.09.2018;IA;3;;;8,5;9,0;;11;;186;;;;;;;;;;;;;;;26;;;;3 shoots
Låv;Car_pal;Novel;3;3;2018;14.09.2018;IA;4;;;8,5;7,5;;4;;185;;;;;;;;;;;;;;;;;;;
Låv;Car_pal;Novel;3;3;2018;14.09.2018;IA;5;;;7,0;6,0;;2;;176;;;;;;;;;;;;;;;24;;;;
Gud;Car_pal;Novel;1;2;2018;03.09.2018;SO;1;;1;6,5;19,5;;9;;215;;;;;;;;;;;;;;1;30;;;;
Låv;Vio_can;Extant;2;6;2018;14.09.2018;;1;;;16,5;17,5;17;4;;23;16;;;;;;;;;;;;;;;;;;
Låv;Vio_can;Extant;2;6;2018;14.09.2018;;2;;;16,0;8,0;34;7;;18;19;;;;;;;;;;;;;;;;;;2 shoot
Låv;Ver_off;Extant;2;6;2018;14.09.2018;;1;;;26,5;18,5;35;21;;15;9;;;;;;;;;2;;;7;;;;;;
Låv;Ver_off;Extant;2;6;2018;14.09.2018;;2;;;28,0;16,0;62;45;;19;10;;;;;;;;;;;;;;;;;;2/3 shoots
Låv;Ver_off;Extant;2;6;2018;14.09.2018;;3;;;26,5;7,5;30;23;;12;7;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;2;6;2018;14.09.2018;;4;;;25,0;5,5;38;36;;28;12;;;;;;;;;;;;;;;;;;2 shoots
Låv;Ver_off;Extant;2;6;2018;14.09.2018;;5;;1;26,5;8,0;58;19;;12;7;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;2;6;2018;14.09.2018;;6;5;1;27,5;7,0;10;;;11;7;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;2;6;2018;14.09.2018;;7;5;1;28,5;7,5;21;12;;13;6;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;3;1;2018;11.09.2018;RG;1;;;7,0;18,5;35;14;;16;9;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;3;1;2018;11.09.2018;RG;2;;1;10,0;16,5;52;20;;22;13;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;3;1;2018;11.09.2018;RG;3;;1;10,0;15,5;34;6;;17;18;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;3;1;2018;11.09.2018;RG;4;;1;89,0;16,0;36;8;;13;6;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;3;1;2018;11.09.2018;RG;5;;1;9,0;16,0;40;5;;12;7;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;3;1;2018;11.09.2018;RG;6;;1;10,0;17,5;18;5;;8;5;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;3;1;2018;11.09.2018;RG;7;8;2;6,5;7,0;18+15;8+4;;18;8;;;;;;;;;;;;;;;;;;two branches on 8
Låv;Ver_off;Extant;3;1;2018;11.09.2018;RG;8;;2;8,0;7,0;30;15;;20;13;;;;;;;;;;;;;;;;;;two branches on 8
Gud;Car_pal;Novel;1;2;2018;03.09.2018;SO;2;;1;7,0;16,0;;3;;97;;;;;;;;;;;;;;0;;;;;
Gud;Car_pal;Novel;1;2;2018;03.09.2018;SO;3;;2;7,5;9,0;;4;;132;;;;;;;;;;;;;;0;;;;;
Gud;Car_pal;Novel;1;2;2018;03.09.2018;SO;4;;2;9,0;9,0;;3;;95;;;;;;;;;;;;;;1;23;;;;
Gud;Car_pal;Novel;1;2;2018;03.09.2018;SO;5;;2;9,5;8,5;;6;;144;;;;;;;;;;;;;;0;;;;;
Gud;Car_pal;Novel;1;6;2018;03.09.2018;SO;1;;1;5,0;20,0;;5;;165;;;;;;;;;;;;;;;;;;;
Gud;Car_pal;Novel;1;6;2018;03.09.2018;SO;2;;;7,0;19,5;;4;;156;;;;;;;;;;;;;;1;36;;;;
Låv;Vio_can;Extant;3;1;2018;11.09.2018;RG;1;;;26,0;16,0;26;34;;18;15;;;;;;;;;;;;;;;;;;
Låv;Vio_can;Extant;3;1;2018;11.09.2018;RG;2;;;29,0;16,5;45;1;;19;18;;;;;;;;;;;;;;;;;;
Låv;Vio_can;Extant;3;1;2018;11.09.2018;RG;3;;;25,5;17,5;19;2;;17;13;;;;;;;;;;;;;;;;;;
Låv;Vio_can;Extant;3;1;2018;11.09.2018;RG;4;;;27,5;8,0;10;5;;26;19;;;;;;;;;1;;;;;;;;;
Låv;Ver_off;Extant;3;4;2018;11.09.2018;RG;1;;;8,0;16,5;69;19;;28;14;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;3;4;2018;11.09.2018;RG;2;1;;9,0;17,0;30;7;;20;11;;;;;;;;;;;;;;;;;;grazed
Låv;Ver_off;Extant;3;4;2018;11.09.2018;RG;3;1;;7,5;17,0;13;7;;14;6;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;3;4;2018;11.09.2018;RG;4;1;;7,0;18,5;43;8;;14;7;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;3;4;2018;11.09.2018;RG;5;;;6,5;9,0;ca 90;30;;24;14;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;3;4;2018;11.09.2018;RG;6;x;;6,0;8,0;ca 50;11;;15;10;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;3;4;2018;11.09.2018;RG;7;x;;7,5;8,0;7;4;;14;7;;;;;;;;;;;;;;;;;;
Gud;Car_pal;Novel;1;6;2018;03.09.2018;SO;3;;2;7,5;8,0;;6;;120;;;;;;;;;;;;;;1;36;;;;
Gud;Car_pal;Novel;1;6;2018;03.09.2018;SO;4;;2;7,0;6,5;;7;;223;;;;;;;;;;;;;;;;;;;
Gud;Car_pal;Novel;1;6;2018;03.09.2018;SO;5;;;7,0;10,0;;;;;;;;;;;;;;;;;;;;;;;
Låv;Vio_can;Extant;3;4;2018;11.09.2018;RG;1;;;27,0;16,0;28;6;;20;18;;;;;;;;;1;;;;;;;;;
Låv;Vio_can;Extant;3;4;2018;11.09.2018;RG;2;;;27,5;7,5;25;11;;25;21;;;;;;;;;;;;;;;;;;
Låv;Hyp_mac;Novel;3;6;2018;11.09.2018;RG;1;;;7,5;17,5;193;212;;12;7;3;;;;1;;;;1;;;;;;;;;14 branches
Låv;Hyp_mac;Novel;3;6;2018;11.09.2018;RG;2;;;8,5;7,0;205;93;;16;10;;;;;;;;;;;;;;;;;;5 branches
Låv;Suc_pra;Novel;3;6;2018;11.09.2018;RG;1;;;18,5;16,5;;8;;84;26;;;;;;;;;;;;;;;;;;
Låv;Suc_pra;Novel;3;6;2018;11.09.2018;RG;2;;;15,5;7,5;;18;14+4;118;29;;;;;;;;;10;;;;;;;;;flower is broken (ca 10 flowers)
Gud;Car_pal;Novel;1;6;2018;03.09.2018;SO;6;;1;5,5;18,5;;5;;150;;;;;;;;;;;;;;1;44;;;;
Gud;Car_pal;Novel;3;3;2018;03.09.2018;RG;1;;;16,0;18,0;;5;;139;;;;;;;;;;;;;;;;;;;
Låv;Suc_pra;Novel;4;1;2018;14.09.2018;IA;1;;;8,0;18,0;;11;;67;21;;;;;;;;;;;;;;;;;;
Låv;Suc_pra;Novel;4;1;2018;14.09.2018;IA;2;;;8,5;7,5;;14;;76;25;;;;;;;;;;;;;;;;;;
Gud;Car_pal;Novel;3;3;2018;03.09.2018;RG;2;;;17,5;18,0;;3;;98;;;;;;;;;;;;;;;21;;;;
Gud;Car_pal;Novel;3;3;2018;03.09.2018;RG;3;;;17,5;7,0;;5;;173;;;;;;;;;;;;;;;;;;;
Gud;Car_pal;Novel;3;3;2018;03.09.2018;RG;4;;;15,5;9,5;;2;;101;;;;;;;;;;;;;;;17;;;;
Gud;Car_pal;Novel;3;5;2018;03.09.2018;ELE;1;;;26,0;18,5;;6;;41;;;;;;;;;;;;;;;;;;;
Gud;Car_pal;Novel;3;5;2018;03.09.2018;ELE;2;;;29,0;17,5;;3;;71;;;;;;;;;;;;;;;20;;;;
Gud;Car_pal;Novel;3;5;2018;03.09.2018;ELE;3;;;28,0;16,5;;5;;70;;;;;;;;;;;;;;;25;;;;
Gud;Car_pal;Novel;3;5;2018;03.09.2018;ELE;4;;;29,5;18,0;;5;;40;;;;;;;;;;;;;;;;;;;
Låv;Hyp_mac;Novel;4;1;2018;14.09.2018;IA;1;;;27,5;18,0;202;74;;20;15;3;;;;5;;;;5;;;2;;;;;;
Låv;Hyp_mac;Novel;4;1;2018;14.09.2018;IA;2;;;26,5;7,5;225;172;;16;10;1;;;;1;;;;;;;;;;;;;
Låv;Suc_pra;Novel;4;4;2018;14.09.2018;IA;1;;;7,5;17,5;;30;10+20;110;23;28;9;6;3;20;6;6;8;;;;;;;;;;3 flowers and 3 buds
Låv;Suc_pra;Novel;4;4;2018;14.09.2018;IA;2;;;6,5;8,5;;7;;65;14;;;;;;;;;;;;;;;;;;
Låv;Suc_pra;Novel;4;4;2018;14.09.2018;IA;3;;;8,0;9,0;;10;;125;23;;;;;;;;;;;;;;;;;;grazed flower/muchy leaves
Låv;Suc_pra;Novel;4;4;2018;14.09.2018;IA;4;;;6,5;7,5;;12;;106;23;;;;;;;;;;;;;;;;;;
Låv;Hyp_mac;Novel;4;4;2018;14.09.2018;IA;1;;;16,0;18,5;247;70;;20;11;4;;;;1;;;;1;;;;;;;;;
Låv;Hyp_mac;Novel;4;4;2018;14.09.2018;IA;2;;;18,0;6,5;266;163;;20;11;4;;;;2;;;;13;;;;;;;;;
Gud;Car_pal;Novel;3;5;2018;03.09.2018;ELE;5;;;28,0;8,0;;3;;93;;;;;;;;;;;;;;;24;;;;
Gud;Car_pal;Novel;6;3;2018;04.09.2018;ELE;1;;;16,0;18,0;;4;;121;;;;;;;;;;;;;;;41;;;;
Gud;Car_pal;Novel;6;3;2018;04.09.2018;ELE;2;;;17,0;17,5;;5;;191;;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;5;3;2018;14.09.2018;;1;;1;9,0;17,5;57;25;;14;;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;5;3;2018;14.09.2018;;2;1;1;8,5;19,5;13;7;;5;;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;5;3;2018;14.09.2018;;3;1;1;8,5;18,5;16;8;;5;;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;5;3;2018;14.09.2018;;4;;;7,0;9,5;26;13;;7;;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;5;3;2018;14.09.2018;;5;;2;8,5;8,5;15;9;;8;;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;5;3;2018;14.09.2018;;6;5;2;9,0;7,5;13;9;;6;;;;;;;;;;;;;;;;;;;
Gud;Car_pal;Novel;6;3;2018;04.09.2018;ELE;3;;;17,0;17,0;;6;;200;;;;;;;;;;;;;;;;;;;
Gud;Car_pal;Novel;6;3;2018;04.09.2018;ELE;4;;;17,0;8,5;;8;;124;;;;;;;;;;;;;;;9;;;;
Gud;Car_pal;Novel;6;3;2018;04.09.2018;ELE;5;;;17,0;7,5;;4;;12;;;;;;;;;;;;;;;;;;;
Gud;Car_pal;Novel;6;3;2018;04.09.2018;ELE;6;;;17,5;6,5;;5;;101;;;;;;;;;;;;;;;26;;;;
Gud;Car_pal;Novel;6;3;2018;04.09.2018;ELE;7;;;19,0;7,5;;5;;175;;;;;;;;;;;;;;;;;;;
Gud;Car_pal;Novel;6;3;2018;04.09.2018;ELE;8;;;17,0;7,0;;4;;112;;;;;;;;;;;;;;;;;;;
Gud;Car_pal;Novel;6;4;2018;04.09.2018;SO;1;;1;25,5;18,0;;4;;180;;;;;;;;;;;;;;;;;;;
Gud;Car_pal;Novel;6;4;2018;04.09.2018;SO;2;;1;26,5;17,5;;5;;189;;;;;;;;;;;;;;1;19;;;;
Gud;Car_pal;Novel;6;4;2018;04.09.2018;SO;3;;2;25,0;8,0;;4;;145;;;;;;;;;;;;;;;;;;;
Låv;Vio_can;Extant;5;3;2018;14.09.2018;;1;;;27,5;18,5;29;3;;20;18;;;;;;;;;;;;;;;;;;
Låv;Vio_can;Extant;5;3;2018;14.09.2018;;2;;;28,0;17,5;35;1;;15;18;;;;;;;;;;;;;;;;;;
Låv;Vio_can;Extant;5;3;2018;14.09.2018;;3;;;28,0;20,0;25;2;;20;16;;;;;;;;;;;;;;;;;;
Låv;Vio_can;Extant;5;3;2018;14.09.2018;;4;;;27,5;7,5;15;15;;34;26;;;;;;;;;2;;;;;;;;;
Gud;Car_pal;Novel;6;4;2018;04.09.2018;SO;4;;2;26,5;7,5;;3;;104;;;;;;;;;;;;;;1;10;;;;
Gud;Car_pal;Novel;7;1;2018;03.09.2018;RG;1;;;6,0;18,0;;4;;80;;;;;;;;;;;;;;;14;;;;
Gud;Car_pal;Novel;7;1;2018;03.09.2018;RG;2;;;7,0;16,0;;6;;82;;;;;;;;;;;;;;;;;;;
Låv;Vio_can;Extant;5;6;2018;14.09.2018;IA;1;;;17,0;19,0;10;6;;22;22;;;;;;;;;;;;;;;;;;2 shoots grazed
Låv;Vio_can;Extant;5;6;2018;14.09.2018;IA;2;;;17,0;7,5;31;4;;16;15;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;5;6;2018;14.09.2018;IA;1;7;1;25,5;16,0;16;11;;4;;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;5;6;2018;14.09.2018;IA;2;7;1;26,5;16,0;13;9;;5;;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;5;6;2018;14.09.2018;IA;3;7;1;26,0;17,5;3;3;;2;;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;5;6;2018;14.09.2018;IA;4;7;1;27,0;18,0;5;18;;12;;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;5;6;2018;14.09.2018;IA;5;7;1;26,5;19,0;3;21;;12;;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;5;6;2018;14.09.2018;IA;6;7;1;27,5;19,0;4;3;;2;;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;5;6;2018;14.09.2018;IA;7;;1;27,0;19,5;11;25;;12;;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;5;6;2018;14.09.2018;IA;8;10;2;29,0;5,0;22;9;;9;6;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;5;6;2018;14.09.2018;IA;9;10;2;29,0;6,0;23;6;;13;5;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;5;6;2018;14.09.2018;IA;10;;2;26,5;6,0;48;2;;27;13;;;;;;;;;;;;;;;;;;
Låv;Suc_pra;Novel;6;3;2018;14.09.2018;IA;1;;;8,0;17,0;;20;14+6;111;24;10;;;;;;;;;;;;;;;;;
Låv;Suc_pra;Novel;6;3;2018;14.09.2018;IA;2;;;6,5;8,5;;22;10+12;136;38;27;15;12;;;;;;;;;;;;;;;
Låv;Hyp_mac;Novel;6;3;2018;14.09.2018;IA;1;;;17,0;18,0;235;;;22;11;2;;;;2;;;;;;;;;;;;;
Låv;Hyp_mac;Novel;6;3;2018;14.09.2018;IA;2;;;17,0;8,0;250;65;;16;9;4;;;;2;;;;6;;;;;;;;;
Gud;Car_pal;Novel;7;1;2018;03.09.2018;RG;3;;;7,0;8,5;;3;;92;;;;;;;;;;;;;;;16;;;;
Gud;Car_pal;Extant;7;2;2018;03.09.2018;RG;1;;;16,0;19,5;;15;;145;;;;;;;;;;;;;;;;;;;
Gud;Car_pal;Extant;7;2;2018;03.09.2018;RG;2;;;15,5;18,0;;10;;150;;;;;;;;;;;;;;;;;;;avblomstret
Gud;Car_pal;Extant;7;2;2018;03.09.2018;RG;3;;;17,0;18,0;;7;;113;;;;;;;;;;;;;;;;;;;
Gud;Car_pal;Extant;7;2;2018;03.09.2018;RG;4;;;16,0;7,5;;7;;109;;;;;;;;;;;;;;;;;;;
